system:index,annual_mean_wind_speed,lat,lon,year,.geo
70_0,4.30027864717003,38.14563475815486,-100.08333512211733,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,2.4518238650553688,32.251179080402835,-91.43810340202272,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,4.752737042880331,46.87843251988913,-101.79134904818032,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,3.9583336433912426,27.638738272351837,-114.46848192287582,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,2.5251930498546935,34.02729043839696,-90.13425966386923,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,4.3862578554980445,32.69431362467874,-102.63795326601273,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,4.297204293430872,44.21556822660741,-93.91625511088068,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,2.5416389915965194,47.94774946364295,-67.66478954913067,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,2.7179833303932526,29.871998747996095,-84.65166965353043,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,1.7898991273144993,38.93004095493999,-112.04814343502562,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,1.2066675649561465,47.85210861738725,-121.64629022902812,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,2.5138271226611253,46.68718623747149,-69.69696512376959,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,1.5525982628500983,45.94925970300195,-122.54209237516311,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,4.192717712215408,48.90215167638317,-105.99705614504803,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,2.3383100611133294,30.993897580507966,-85.62970702559183,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,2.645237978706706,33.24588077937629,-91.42678028523154,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,2.502456439890078,45.966632417413315,-69.36554770545159,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,4.248339276414181,48.34360912519496,-104.7698614457896,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,1.8411531876167626,36.54307779052507,-83.78037150892285,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,1.3981399161368446,35.075530878124155,-118.77670255247088,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,3.774322391872671,38.99689444038676,-98.20339790277374,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,2.5503724320224355,37.22561439866257,-94.3534353338048,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,3.810272406222193,47.05710883125768,-108.58308558233827,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,2.532682971416268,40.18349861306508,-110.45580241761431,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,2.108993924897363,34.6928369865774,-94.89898146592084,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,3.3665654004575347,42.164003102747905,-116.60225600528607,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,1.4409312866487316,46.95201613693151,-115.27478526969414,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,2.881005897445003,29.551109501321232,-99.55510833295872,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,1.3546984881514035,49.21538815234064,-120.3538370565597,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
